Species;Family;Author;Synonyms;LocalName;Comments;FileNamePhoto;FileNameID;Location;LocationColour;FigOneWidth;FigTwoWidth
Convolvulus althaeoides;Convolvulaceae;L.;;;;Convolvulus_althaeoides_flower.jpg;Convolvulus_althaeoides_whole.jpg;;;;
Convolvulus siculus;Convolvulaceae;L.;;;;Convolvulus_siculus_flower.jpg;Convolvulus_siculus_close.jpg;;;;
Aeonium arboreum;Crassulaceae;(L.) Webb \& Berthel.;;;;Aeonium_arboreum_close.jpg;Aeonium_arboreum_whole.jpg;;;;
Aeonium arboreum ssp holochrysum;Crassulaceae;(H.Y.Liu) Bañares;;;;Aeonium_arboreum_ssp_holochrysum_close.jpg;Aeonium_arboreum_holochrysum_photo.jpg;\textcolor{red}{NN};;;
Aeonium canariense ssp christii;Crassulaceae;(Praeger) Bañares;;;;Aeonium_canariense_ssp_christii_close.jpg;Aeonium_canariense_ssp_christii_whole.jpg;;;;
Aeonium davidbramwellii;Crassulaceae;H.Y.Liu;;;;Aeonium_davidbramwellii_photo.jpg;Aeonium_davidbramwellii_ID;\textcolor{red}{NN}, \textcolor{green}{SS};;;
Aeonium diplocyclum;Crassulaceae;(Webb ex Bolle) T.H.M.Mes;Aeonium aureum;;;Aeonium_diplocyclum_photo.jpg;Aeonium_diplocyclum_ID;\textcolor{red}{NN}, \textcolor{green}{SS};;;
Aeonium goochiae;Crassulaceae;Webb \& Berthel.;;;;Aeonium_goochiae_photo.jpg;Aeonium_goochiae_ID;\textcolor{red}{NN};;;
Aeonium palmense;Crassulaceae;Webb;Aeonium canariense subsp. christii;;;Aeonium_palmense_photo.jpg;Aeonium_palmense_ID;\textcolor{red}{NN};;;
Aeonium spathulatum;Crassulaceae;(Hornem.) Praeger;;;;Aeonium_spathulatum_close.jpg;Aeonium_spathulatum_whole.jpg;\textcolor{green}{SS};;;
Aichryson laxum;Crassulaceae;(Haw.) Bramwell;;;;Aichryson_laxum_leaf.jpg;Aichryson_laxum_flower.jpg;\textcolor{red}{NN};;;
Crassula campestris;Crassulaceae;(Eckl. \& Zeyh.) Endl.;;;;Crassula_campestris_whole.jpg;Crassula_campestris_ID;;;;
Crassula muscosa;Crassulaceae;L.;;;;Crassula_muscosa_close.jpg;Crassula_muscosa_whole.jpg;;;;
Crassula tillaea;Crassulaceae;Lest.-Garl.;;;;Crassula_tillaea_whole.jpg;Crassula_tillaea_photo;;;;
Umbilicus gaditanus;Crassulaceae;Boiss.;;;;Umbilicus_gaditanus_flower.jpg;Umbilicus_gaditanus_whole.jpg;;;;
Umbilicus horizontalis;Crassulaceae;(Guss.) DC.;;;;Umbilicus_horizontalis_photo;Umbilicus_horizontalis_ID;;;;
Juniperus canariensis;Cupressaceae;Guyot \& Mathou;;;;Juniperus_canariensis_photo.jpg;Juniperus_canariensis_ID.jpg;\textcolor{green}{SS};;;
Carex divulsa;Cyperaceae;Stokes;;;;Carex_divulsa_flower.jpg;Carex_divulsa_close.jpg;;;;
Cytinus hypocistis;Cytinaceae;(L.) L.;;;;Cytinus_hypocistis_flower.jpg;Cytinus_hypocistis_whole.jpg;;;;
Cytisus supranubius;Cytinaceae;(L.f.) Kuntze;;;;Cytisus_supranubius_photo.jpg;Cytisus_supranubius_ID.jpg;\textcolor{green}{SS};;;
Pteridium aquilinum;Dennstaedtiaceae;(L.) Kuhn;;;;Pteridium_aquilinum_close.jpg;Pteridium_aquilinum_sketch.jpg;\textcolor{green}{SS};;;
Dioscorea communis;Dioscoreaceae;(L.) Caddick \& Wilkin;;;;Dioscorea_communis_leaf.jpg;Dioscorea_communis_sketch.jpg;;;;
Tamus edulis;Dioscoreaceae;Lowe;Dioscorea edulis (Lowe) M.Campos;;;Dioscorea_edulis_photo;Dioscorea_edulis_ID;;;;
Erica arborea;Ericaceae;L.;;;;Erica_arborea_flower.jpg;Erica_arborea_whole.jpg;;;;
Erica canariensis;Ericaceae;Rivas Mart.;;;;erica_canariensis_photo;erica_canariensis_ID;\textcolor{red}{NN}, \textcolor{green}{SS};;;
Euphorbia balsamifera;Euphorbiaceae;Aiton;;;;Euphorbia_balsamifera_whole.jpg;Euphorbia_balsamifera_ID;;;;
Euphorbia canariensis;Euphorbiaceae;L.;;;;Euphorbia_canariensis_photo.jpg;Euphorbia_canariensis_ID.jpg;\textcolor{red}{NN};;;
Euphorbia lamarckii;Euphorbiaceae;Sweet;;;;Euphorbia_lamarckii_flower.jpg;Euphorbia_lamarckii_whole.jpg;\textcolor{red}{NN};;;
Euphorbia peplis;Euphorbiaceae;L.;;;;Euphorbia_peplis_photo.jpg;Euphorbia_peplis_ID.jpg;;;;
Euphorbia peplus;Euphorbiaceae;L.;;;;Euphorbia_peplus_flower.jpg;Euphorbia_peplus_whole.jpg;;;;
Mercurialis annua;Euphorbiaceae;L.;;;;Mercurialis_annua_close.jpg;Mercurialis_annua_whole.jpg;;;;
Mercurialis cf canariensis;Euphorbiaceae;Obbard \& S.A.Harris;;;;Mercurialis_canariensis_photo.jpg;Mercurialis_canariensis_ID.jpg;;;;
Adenocarpus foliolosus var foliolosus;Fabaceae;(Aiton) DC.;;;;Adenocarpus_foliosus_photo.jpg;Adenocarpus_foliolosus_ID;\textcolor{red}{NN}, \textcolor{green}{SS};;;
Adenocarpus viscosus;Fabaceae;(Willd.) Webb \& Berthel.;;;;Adenocarpus_viscosus_flower.jpg;Adenocarpus_viscosus_whole.jpg;;;;
Adenocarpus viscosus ssp spartioides;Fabaceae;(Webb \& Berthel.) Rivas Mart. \& Belmonte;;;leafs up to 14 mm;Adenocarpus_viscosus_photo.jpg;;\textcolor{green}{SS};;;
Bituminaria bituminosa;Fabaceae;(L.) C.H.Stirt.;;;;Bituminaria_bituminosa_flower.jpg;Bituminaria_bituminosa_close.jpg;\textcolor{green}{SS};;;
Chamaecytisus prolifer;Fabaceae;(L.f.) Link;;;;Chamaecytisus_prolifer_fruit;Chamaecytisus_prolifer_ID;\textcolor{red}{NN}, \textcolor{green}{SS};;;
Genista benehoavensis;Fabaceae;(Bolle) del Arco;;;;Genista_benehoavensis_photo.jpg;Genista_benehoavensis_ID.jpg;\textcolor{red}{NN}, \textcolor{green}{SS};;;
